residuos,dia_semana,hora,temperatura,Predicción
36.556377605389834,3,8,30.632041307024444,51.6851284110813
15.805816328190458,2,22,33.8407125433158,44.84347375941297
29.587535663254084,4,10,34.62098817808533,49.390929845976956
17.642313556734624,4,17,22.369206362236024,47.249498337782086
93.85761573237593,1,20,25.12209088790621,47.707510652225515
62.728964303517046,7,10,24.694691479049617,48.246804756879655
47.74723526265807,4,1,19.722743848081404,55.8370214873481
22.555754924958137,1,9,26.339286313739326,53.24557405789807
55.18500954146715,5,1,17.04248759974799,55.379922710234055
68.17273136798548,3,19,21.500592916168777,47.100586099411224
62.91832250952179,6,16,25.79639456638703,45.79333747884801
7.836443471189691,5,22,20.851924020219766,44.06832228884384
48.91813732659851,5,3,24.653762165599296,53.42932073824431
35.88284152394666,2,15,28.373252409152947,49.11974617346989
95.53528382323397,1,0,25.363343898785033,58.01428583641402
46.1074998390634,2,3,19.019384008988688,56.448219324896904
10.089027768160253,5,0,28.97313383357254,54.45929260320731
79.4885768055092,6,17,34.66778973824454,44.2077063675016
41.753497350597904,4,20,27.07956431907934,45.13161107405003
84.38013466499075,4,5,28.84560821789664,52.670716732582044
49.05745830235598,3,1,33.405665422663574,54.96850260664978
34.26565270039516,3,10,33.74088155631088,50.276986493651236
35.83088040709171,2,5,18.821721861749626,55.438449786564505
41.75471596200211,2,10,29.765291401001328,51.535991650604636
55.54510094042811,1,10,17.26395271974649,53.82219180594613
20.433625489634576,6,21,21.81581691646848,43.68896303035226
12.01942669599343,2,2,22.569706457017144,56.5372632249613
15.345316845103874,3,10,16.232234511790573,52.386454608731455
17.884062242236876,3,14,32.1164007900132,48.40553803639037
50.02923632308169,2,5,31.561167457179813,53.90358223117736
51.017541254561735,1,3,26.064970427315757,56.379376561126364
76.70363695327606,2,10,32.05075410713625,51.26063566824131
3.675545896890342,6,6,30.30252380692665,50.418353109090056
43.82748305320136,1,4,17.231157610113538,56.92689552293048
57.655097947835046,1,23,24.698591392370112,46.208158251617036
59.81374240813122,2,7,21.273209837473516,54.109506659191126
20.715128048713193,6,16,31.71464007593711,45.0802983634973
55.015202643949166,4,20,23.823965195862385,45.52385055026122
26.995872110468312,7,5,15.465707761930345,51.94268701560811
90.71346175412758,2,23,15.1528895191386,46.5782186835906
75.13964305822924,1,14,27.192008746285772,50.558876350006585
25.28030046464257,5,21,22.40026613945758,44.398567788315844
70.60530534592617,3,13,25.439925063637276,49.72672195352241
5.57742550558884,3,16,29.244301026332675,47.71798876232562
34.35387898983963,1,17,27.782860724194276,48.93731335909521
93.24636089274439,4,13,34.79035521978423,47.820147993760074
19.862907612570304,2,22,16.843728692819603,46.89129592374044
50.016122653483194,1,22,32.89051929470554,45.737974549243276
79.32486687366473,4,1,25.402074013559968,55.152767251790834
86.69693977661805,3,15,27.588951961445396,48.434219791478554
65.77058111005708,7,10,29.323549902608725,47.68911293586745
88.1526668941426,7,1,19.398063262888016,53.536079255618986
26.009086041493646,6,22,17.928369468824886,43.64053645701084
65.09308137117931,2,19,23.059709355055634,47.692761486074886
28.31694638088016,5,10,21.435642402307593,50.19950004647488
98.7285183750194,7,19,24.142749927749257,43.66217473534705
14.507528058662567,7,20,18.32387487859777,43.846449462774714
3.11577889490946,5,22,30.806699761856674,42.86895594338259
29.075842745383753,7,18,30.393071554604653,43.42591867568322
84.57130759922255,6,22,30.900897402264317,42.07758679116887
38.82023143579656,6,5,32.38442115570462,50.68431507246203
46.01354387022322,2,14,20.43040231975,50.59350477748482
73.6828290791396,4,23,19.344140871088037,44.5132102625835
67.33352306886788,1,5,33.73735439760655,54.42141203622954
64.58658713328754,3,23,21.443736172472466,45.040267943440746
25.382034248214524,5,1,26.751984315878893,54.21010795047142
17.588392845893498,2,21,26.47211573345213,46.24804546508629
43.07774039228719,3,4,29.64463724391173,53.87126067879841
76.50866884269428,7,4,19.155125362094815,52.01497252265407
21.048400599345396,4,9,17.990420192256693,51.91139776160928
68.25446276382961,1,18,19.931491061841164,49.36646609278567
41.06825621794623,3,0,15.10636379054046,57.690022060443155
96.81387148908546,4,4,30.53048093232154,52.98451282071189
89.58534984148194,4,15,19.939447663988883,48.57582348914141
6.206963046843505,3,10,27.58163592444639,51.01906166601195
24.317700359447958,5,20,28.875176257798927,44.13525296959433
77.43804891577007,6,12,30.80553494161195,47.25699705857442
42.52464615970919,5,9,17.749868724965296,51.16035968508902
59.484463876696694,6,7,27.647539120232558,50.22143756966028
95.04791424982966,1,10,31.686811806726865,52.08450406257465
15.832683861532526,3,2,18.315370152649017,56.269811979169674
68.92020927841213,3,22,28.109047888734768,44.75401325398832
97.25797787630272,4,23,25.45926351573358,43.776451094049
89.08993303733284,3,8,31.685658697451792,51.558187004075435
72.08363913526424,6,15,33.97153631028393,45.32517619807602
78.24695817757191,4,6,33.43761715706756,51.600672507361764
54.899488317931564,1,12,18.553896524135737,52.633193266378846
69.42405352169864,6,18,16.05829970343576,45.93301361536926
46.74168876119229,6,8,34.60546924877276,48.86634360307068
48.13168779069182,7,5,33.335410303445336,49.789718391508075
99.11550760082717,6,0,22.285337139577408,54.485028323157586
49.8450697178294,1,14,21.232073134168946,51.27693835158348
17.620566558372463,7,16,34.22680251103387,43.9976091781129
55.99937884896534,6,22,23.512325147409367,42.967773083002356
50.9713883661358,5,9,21.971017876306433,50.6517892900659
66.42137803015153,5,7,19.06314768154917,52.03571803322629
70.34033786207848,1,12,23.09363232876007,52.08623907246583
21.82929864111739,7,0,26.80638020939683,53.16030617913429
1.387922842653344,3,12,34.25321132067345,49.18167606254281
41.31207363879626,2,2,19.09131323164614,56.956345269506116
53.007243061510714,6,23,19.323570333669302,42.95564847405619
32.88935231905311,6,18,22.039532404138797,45.212385708545526
82.27977222452208,5,8,27.376544634585482,50.517315386071424
85.50067030586705,4,17,23.867462592035572,47.06898617502353
76.3347864915462,7,2,26.64570506192066,52.14608039147126
15.043125079389608,1,16,15.234874141973947,50.96590573024755
98.15067307583818,5,20,32.33137308975347,43.71884517989415
41.494902993460606,5,12,33.887532434049994,47.665693446697674
29.215941491210252,6,12,30.97111364733143,47.23704788720993
27.71603341658413,5,10,32.39488631525496,48.87911386580852
4.71449633147466,7,17,24.491319563594473,44.65376271260668
41.654778849904396,5,6,19.880978971268423,52.45397657554918
71.60278492256637,6,11,16.513711680605095,49.49568949413802
44.839511209104025,1,19,28.192367791754286,47.854391161061564
30.829375967438466,4,22,28.326558717200193,43.947787143511896
77.14956649809527,6,18,31.47386220368984,44.07572347252583
1.0049330781026766,4,14,28.66783007002975,48.04100694175796
47.82465891229148,4,11,24.906802608974843,50.04451744031525
94.2623786063982,3,4,33.13941032872401,53.45020516416575
84.7434379020682,3,8,32.732310499210755,51.43208482166307
26.43623773123034,3,22,18.525308277744713,45.90867660868437
29.231814681651926,4,1,24.240922116445986,55.29266457780915
6.5373675506847695,3,20,25.836467784616246,46.061401292054754
59.3813541872902,3,13,17.54265396861292,50.6781970463002
2.6967157783106765,7,1,16.596987762163646,53.873557042548256
13.318393462144872,7,19,20.888238912961256,44.05428311461907
12.988823831182305,4,5,19.17452387409201,53.83590351198498
34.38736284782347,4,2,27.182885701775852,54.42142029718272
74.34720426377815,2,5,23.15347442288025,54.9165537264699
94.92710810799382,1,22,24.932869775421146,46.69672412533731
64.54140267683326,6,3,31.20717183071219,51.859736011748225
16.742928269812253,5,18,32.532245887646866,44.72822789420944
5.102594679188266,7,0,28.59497486576725,52.944813606303136
15.557814409423132,3,17,26.261125732440775,47.560614120590124
10.204714365456502,5,11,34.72859919710972,48.081152544264725
97.80343792850373,7,12,31.064555007905454,46.44576985272741
99.62943292572028,7,15,17.395571956434164,46.54225322166855
57.5642835082044,7,14,22.772578001569986,46.411215536066166
53.59405628650706,5,17,33.33738647255569,45.14801543172467
78.52220197757394,2,6,24.411564063204324,54.248185109952296
27.589674745505178,2,18,15.063230569792065,49.17298135598224
68.3975934316536,2,16,17.262505521418852,49.941593574799555
18.657223839905768,3,10,15.638737696242348,52.45795999721848
83.40967340819397,5,18,24.74582632931332,45.666347427213694
25.547969094905486,4,12,26.35546301845086,49.35318857106252
92.94879196414185,6,7,18.308731571658743,51.346591141292336
64.9936464685539,6,15,16.673600633288913,47.40925749085358
79.7985525155378,6,0,22.883659130741783,54.41294159025908
54.26602125441915,5,11,23.126209100123262,49.47902594396727
41.454398410640394,4,21,33.82186557994074,43.802496397573634
57.849039123885916,3,19,20.986777662100963,47.162491333593046
