residuos,dia_semana,hora,temperatura,latitud,longitud,nivel_residuos,Predicción
14.824774919831308,4,10,31.788711379658274,-0.46554208799400615,-76.99607473444726,0,53.562608824806375
37.69022857104779,1,0,31.844345404252902,-0.46502553861211887,-76.9871948423253,0,38.55173312685656
10.724744686888732,5,16,32.71480778887558,-0.4752737988065088,-76.99044165507966,1,67.47136448658785
68.99325500252526,3,6,28.98650927530738,-0.458828363555312,-76.98886173324858,2,38.402893380698515
78.22761374744812,1,1,15.26514952407922,-0.47268656793409786,-76.9947860621241,1,41.331344551490474
38.67409975486391,5,7,16.6208113651089,-0.4595920526459672,-76.99694971619694,0,38.59272463938032
7.5632313456044375,6,15,19.086747450444626,-0.4572542781070944,-76.99399358069529,2,43.96806954473141
57.81078164982696,3,4,24.61177525812561,-0.4602970348341588,-76.99537932900401,1,38.45009419424241
65.72168423119655,7,0,26.947744000528882,-0.4758431945306687,-76.99541186936311,2,55.64227555321486
4.124482227281101,2,6,28.44964220814335,-0.46787488095405916,-76.98106605076059,0,43.18252179938281
37.83092942390087,6,12,18.491228435433964,-0.4634858891757941,-76.98657559593792,0,44.53298354363142
81.92649033524533,5,23,30.779353701285295,-0.4700882787780721,-76.99882381814048,0,70.3118632195874
91.38483037579003,3,21,28.34492042394209,-0.46689659352357904,-76.99373954986622,2,60.36743624346127
54.63477377215982,1,20,18.066425669155187,-0.47296377738508005,-76.98474079536447,1,54.89706267931979
36.58373106474349,2,1,17.121297439033604,-0.46329158990773034,-76.98935655892784,1,31.807411615009187
9.085778709600001,6,20,16.729368883057415,-0.4573035419117685,-76.97902646338962,2,41.17706305759566
59.09342971643793,1,9,27.797266849181334,-0.46273127789265145,-76.98867819523386,0,42.177980819797085
82.86293153074635,3,18,18.004425313815617,-0.4650259235113687,-76.9784801416177,0,44.808689920708275
9.690054193732077,5,5,25.318835181071208,-0.4686590518386034,-76.9921044527525,1,48.60781583856078
4.138246018701198,1,1,26.888864568914535,-0.45931493378127836,-76.9842381342677,1,29.99194030867875
92.68400724823731,3,2,29.01849977669957,-0.47473586647598676,-76.99840080169305,1,54.61086403935769
22.824562253501647,3,11,16.479994164761504,-0.4636896585089775,-76.98205658285697,0,38.27970567680677
45.227379111728325,3,6,17.34355122234769,-0.47451417671227464,-76.98606486421299,1,46.908657043095445
84.76221108237587,4,7,28.490587244378172,-0.4680657292323864,-76.98799645792357,1,48.78373502866452
34.16044811590179,6,4,33.44960831183833,-0.46904982400599127,-76.97843015328937,1,48.079239382597734
77.78029564013677,5,4,17.375756497117266,-0.4674949908766845,-76.98521878208284,0,39.86352945255203
13.29286262393915,4,10,15.158005877519356,-0.46457982221159616,-76.9922576913005,2,42.52438725993488
96.11465152691324,7,1,23.43214400738806,-0.4615077375828124,-76.98826706950571,0,37.63564534300531
66.51981462635615,2,17,21.01772864103763,-0.47671822842947725,-76.98107527358724,1,57.226061691068026
0.6767354610862975,7,2,26.52550974521526,-0.46567698948297864,-76.9830753008011,0,42.21888290836796
45.02014975463052,4,0,24.555997258921515,-0.46762392402059105,-76.99839433600937,0,44.517219829169335
13.947928870972948,1,21,22.176437284763402,-0.46332496588918326,-76.99299307449574,1,51.42969439782246
98.42821764695793,4,13,21.533913898423222,-0.47200896295227607,-76.98899690614716,0,54.44645974829109
32.466733842038195,5,15,24.104880994090777,-0.4653330801960191,-76.99808370683795,1,55.22818613493655
33.32160341695407,3,5,22.865453902376405,-0.45819409798602206,-76.98818049614458,0,33.513234297286544
96.69899630355687,6,15,32.732897807119386,-0.47375243377414317,-76.99082896986198,2,66.23988567389097
63.06722731060893,1,17,19.249710796315032,-0.46634072463217485,-76.9841834849412,2,46.22578966339279
97.60475336104828,1,19,23.356915445433284,-0.47208197023157533,-76.98384940439776,0,55.59108606293739
56.77053255487209,4,10,27.979706234962016,-0.4575413884654748,-76.98356778917619,0,38.822269865577255
86.19438416064737,2,1,27.36694846540017,-0.45831735722404415,-76.99878094153415,0,35.78447695729483
98.2303928906889,6,20,16.549267856554998,-0.4612513875283307,-76.98376080127338,2,46.83160695269544
36.2585517016532,5,6,16.78676632396526,-0.4747305657813146,-76.98584072285027,2,48.650839509627986
83.26954095835214,3,22,25.119541463732958,-0.4609236129565299,-76.99638869831978,2,54.596309279164416
